rank,name,mean
species,Komagataeibacter europaeus,4.5
species,Komagataeibacter xylinus,4.33
species,Haploplasma axanthum,2
species,Acholeplasma granularum,2
species,Acinetobacter sp.,7
species,Acinetobacter baylyi,7
species,Acinetobacter calcoaceticus,6
species,Acinetobacter junii,6
species,Acinetobacter lwoffii,6.93
species,Acinetobacter radioresistens,6.75
species,Acinetobacter schindleri,6.89
species,Acinetobacter tandoii,6
species,Acinetobacter tjernbergiae,6
species,Acinetobacter towneri,6.92
species,Dolichospermum flos-aquae,5
species,Anabaenopsis sp. PCC 9215,4
species,Anabaenopsis elenkinii,4
species,Aphanizomenon flos-aquae,5
species,Aquifex pyrophilus,6
species,Bacteroides eggerthii,4
species,Bacteroides ovatus,5
species,Bacteroides thetaiotaomicron,5.1
species,Bacteroides uniformis,4
species,Parabacteroides distasonis,7
species,Bifidobacterium breve,2.56
species,Borreliella burgdorferi,1
species,Borrelia anserina,1
species,Borrelia hermsii,1
species,Brachyspira hyodysenteriae,1
species,Bradyrhizobium japonicum,1.9
species,Bradyrhizobium sp.,1
species,Bradyrhizobium sp. ANU289,1
species,Burkholderia cepacia,5.79
species,Campylobacter coli,2.79
species,Campylobacter helveticus,2.82
species,Campylobacter jejuni,2.58
species,Cyanospira rippkae (nom. illeg.),4
species,Cyanospira capsulata (nom. illeg.),4
species,Haloarcula marismortui,2.67
species,Halosimplex carlsbadense,2
species,Helicobacter pylori,1.97
species,Natrinema sp. XA3-1,4
species,Leptonema illini,2
species,Leptospira biflexa,2
species,Leptospira sp. Akiyami C,2
species,Leptospira interrogans,2
species,Mycobacterium lepraemurium,1
species,Nodularia spumigena,4
species,Blastopirellula marina,2
species,Sinorhizobium fredii,3
species,Rhizobium leguminosarum,3
species,Sinorhizobium meliloti,2.97
species,Spirochaeta aurantia,2.5
species,Spiroplasma apis,1.5
species,Spiroplasma monobiae,1
species,Spiroplasma melliferum,1
species,Terriglobus roseus,2
species,Terriglobus sp. TAA 43,1
species,Terriglobus sp. TAA 48,1
species,Thermostaphylospora chromogena,6
species,Treponema phagedenis,1.89
species,Mycoplasmopsis arginini,2
species,Metamycoplasma orale,1
species,Campylobacter fetus,3
species,Rhodococcoides fascians,4.12
species,Escherichia coli,6.97
species,Alkalithermobacter thermoalcaliphilus,15
species,Streptococcus agalactiae,6.96
species,Clostridium perfringens,9.99
species,Corynebacterium glutamicum,5.91
species,Desulfurella acetivorans,2
species,Desulfurella multipotens,2
species,Frankia sp.,2
species,Lactiplantibacillus plantarum,4.96
species,Lactococcus lactis,5.98
species,Mycobacterium leprae,1
species,Mycoplasma capricolum,2
species,Mycoplasma mycoides,1.98
species,Mycolicibacterium smegmatis,2
species,Mycolicibacterium phlei,2
species,Mycobacterium intracellulare,1
species,Candidatus Phytoplasma australiense,2
species,Stutzerimonas stutzeri,4.02
species,Stutzerimonas balearica,4
species,Streptococcus thermophilus,5.68
species,Streptomyces griseus,6
species,Streptomyces nodosus,6
species,Haloarcula californiae,4
species,Haloferax gibbonsii,2.67
species,Halobacterium salinarum,1.22
species,Halococcus morrhuae,2
species,Vibrio natriegens,11.92
species,Thermoplasma acidophilum,1
species,Thermoproteus tenax,1
species,Actinomyces naeslundii,3
species,Halobacterium sp. GRB,1
species,Borreliella garinii,1
species,Borreliella afzelii,1
species,Vibrio cholerae,9.09
species,Streptococcus pneumoniae,3.92
species,Bacillus cereus,13.72
species,Bacillus thuringiensis,13.22
species,Bacillus mycoides,13.55
species,Desulfurococcus mucosus,1
species,Sulfolobus sp.,1
species,Wolbachia pipientis,1
species,Agrobacterium tumefaciens,4.36
species,Methylophilales bacterium HTCC2181,1
species,Limosilactobacillus panis,5
species,Lactobacillus gallinarum,4
species,Acidobacteriaceae bacterium KBS 83,1
species,Bryobacterales bacterium KBS 96,2
species,Wolbachia endosymbiont of Culex quinquefasciatus,1
species,Acidithiobacillus caldus,2
species,Pseudomonas fluorescens,5.5
species,Treponema primitia,2
species,Novacetimonas hansenii,4.25
species,Kamptonema sp. PCC 6506,1
species,Salipiger bermudensis,4
species,Maritimibacter alkaliphilus,1
species,Clostridium carboxidivorans,7
species,Stenoxybacter acetivorans,4
species,Loigolactobacillus coryniformis,4.2
species,Bacillus subtilis,9.84
species,Chlamydia trachomatis,2.03
species,Chthoniobacter flavus,1
species,Alkalihalophilus pseudofirmus,8.33
species,Corynebacterium jeikeium,3
species,Ureaplasma parvum,2
species,Yersinia pestis,6.83
species,Chlamydia muridarum,2
species,Xylella fastidiosa,2
species,Pseudomonas aeruginosa,4
species,Streptococcus pyogenes,5.92
species,Pasteurella multocida,6
species,Neisseria gonorrhoeae,4
species,Caulobacter vibrioides,2
species,Shigella flexneri,7
species,Salmonella enterica,6.99
species,Chlorobaculum tepidum,2
species,Saccharolobus solfataricus,1
species,Rickettsia conorii,1
species,Methanosarcina mazei,3
species,Caldanaerobacter subterraneus,4
species,Zymomonas mobilis,2.88
species,Brucella melitensis,2.99
species,Xanthomonas campestris,2
species,Xanthomonas citri,1.99
species,Methanopyrus kandleri,1
species,Chlamydia pneumoniae,1
species,Pyrobaculum aerophilum,1
species,Pyrococcus furiosus,1
species,Methanosarcina acetivorans,3
species,Buchnera aphidicola,1
species,Streptococcus mutans,5
species,Tropheryma whipplei,1
species,Brucella suis,2.96
species,Bifidobacterium longum,3.84
species,Pseudomonas putida,6.8
species,Porphyromonas gingivalis,3.94
species,Chlamydia caviae,1
species,Clostridium tetani,6.25
species,Staphylococcus epidermidis,5.62
species,Leifsonia xyli,1
species,Chromobacterium violaceum,8
species,[Mannheimia] succiniciproducens,6
species,Coxiella burnetii,1
species,Enterococcus faecalis,3.98
