#OTU_num	Y.A.0H	Y.B.0H	Y.C.0H	Y.D.0H	Y.E.0H	Y.CN.A.24H	Y.CN.B.24H	Y.CN.C.24H	Y.CN.D.24H	Y.CN.E.24H	OFP.A.24H	OFP.B.24H	OFP.C.24H	OFP.D.24H	OFP.E.24H	IQ.A.24H	IQ.B.24H	IQ.C.24H	IQ.D.24H	IQ.E.24H	PM.A.24H	PM.B.24H	PM.C.24H	PM.D.24H	PM.E.24H	EM.A.24H	EM.B.24H	EM.C.24H	EM.D.24H	EM.E.24H	Taxonomy
ASV0	398.0	546.0	7993.0	7031.0	93.0	17.0	451.0	1510.0	615.0	165.0	2385.0	23008.0	28534.0	17279.0	254.0	1961.0	12398.0	26745.0	20516.0	82.0	17736.0	8457.0	34597.0	12204.0	26.0	17234.0	12058.0	46344.0	14577.0	85.0	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium
ASV1	5.0	0.0	62.0	163.0	3.0	30034.0	4927.0	12234.0	13280.0	202.0	11486.0	3898.0	1597.0	7051.0	10.0	12202.0	1440.0	1669.0	4165.0	9.0	18534.0	1810.0	2526.0	18242.0	0.0	18274.0	4675.0	417.0	11738.0	5.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella
ASV2	0.0	0.0	21.0	76.0	47.0	0.0	0.0	19.0	18.0	50.0	0.0	0.0	1486.0	485.0	12235.0	0.0	0.0	1149.0	291.0	16197.0	0.0	0.0	8904.0	2592.0	24287.0	0.0	0.0	3892.0	5102.0	10592.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus
ASV3	0.0	0.0	0.0	0.0	0.0	3316.0	514.0	3.0	0.0	3.0	38487.0	93.0	0.0	0.0	0.0	41266.0	47.0	0.0	0.0	0.0	412.0	2.0	0.0	0.0	0.0	121.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1
ASV4	1921.0	682.0	269.0	770.0	1666.0	1999.0	5561.0	10141.0	13601.0	4707.0	1686.0	58.0	60.0	2444.0	146.0	672.0	132.0	373.0	1756.0	298.0	796.0	122.0	423.0	977.0	139.0	367.0	46.0	756.0	241.0	91.0	k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella
ASV5	0.0	0.0	559.0	1477.0	0.0	0.0	0.0	49.0	123.0	0.0	0.0	0.0	2476.0	7263.0	84.0	0.0	0.0	2152.0	9190.0	44.0	0.0	122.0	4053.0	13307.0	62.0	0.0	67.0	1356.0	8836.0	71.0	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium
ASV6	2.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	473.0	0.0	0.0	0.0	0.0	322.0	0.0	0.0	0.0	5290.0	14086.0	0.0	0.0	0.0	89.0	28122.0	0.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus
ASV7	0.0	0.0	0.0	0.0	828.0	5278.0	113.0	65.0	180.0	12927.0	116.0	15.0	38.0	99.0	9401.0	112.0	0.0	55.0	76.0	8656.0	59.0	0.0	15.0	6.0	2657.0	42.0	0.0	4.0	0.0	2431.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus
ASV8	80.0	0.0	2935.0	789.0	8.0	3034.0	1613.0	5751.0	1953.0	103.0	1383.0	333.0	4760.0	3415.0	6.0	1439.0	195.0	4168.0	2351.0	13.0	243.0	5.0	1054.0	296.0	0.0	0.0	6.0	888.0	202.0	0.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides
ASV9	0.0	0.0	0.0	46.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	292.0	6027.0	0.0	0.0	0.0	135.0	7714.0	0.0	0.0	0.0	1598.0	11085.0	0.0	0.0	0.0	3492.0	5057.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus
ASV10	4363.0	3992.0	0.0	4342.0	8107.0	469.0	1819.0	0.0	170.0	1365.0	455.0	187.0	0.0	1364.0	211.0	405.0	92.0	0.0	1566.0	276.0	970.0	558.0	2.0	238.0	2284.0	962.0	87.0	0.0	737.0	401.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__
