"","Y.A.0H","Y.B.0H","Y.C.0H","Y.D.0H","Y.E.0H","Y.CN.A.24H","Y.CN.B.24H","Y.CN.C.24H","Y.CN.D.24H","Y.CN.E.24H","OFP.A.24H","OFP.B.24H","OFP.C.24H","OFP.D.24H","OFP.E.24H","IQ.A.24H","IQ.B.24H","IQ.C.24H","IQ.D.24H","IQ.E.24H","PM.A.24H","PM.B.24H","PM.C.24H","PM.D.24H","PM.E.24H","EM.A.24H","EM.B.24H","EM.C.24H","EM.D.24H","EM.E.24H"
"Acidaminococcus","0.0005557233","0.0000000000","0.0000000000","0.0016881418","0.0008828443","0.0633589726","0.0823514856","0.0000000000","0.0051793536","0.1312462182","0.0085909615","0.0011185121","0.0000000000","0.0011165707","0.0031853124","0.0037136211","0.0003683987","0.0000000000","0.0008782763","0.0008800345","0.0863172665","0.0209825947","0.0000000000","0.0035984209","0.0074318229","0.0007614995","0.0239845769","0.0000000000","0.0016119986","0.0061953478"
"Bacteroides","4.158280e-03","0.000000e+00","1.108958e-01","7.093723e-02","4.004031e-04","1.474073e-01","1.132084e-01","1.920495e-01","1.226098e-01","6.784767e-03","4.768459e-02","7.627096e-03","1.028561e-01","1.070783e-01","7.994370e-04","4.970408e-02","4.423732e-03","9.623909e-02","7.557628e-02","8.360011e-04","5.263432e-03","8.452604e-05","2.196306e-02","1.281347e-02","1.191337e-04","8.446770e-04","9.422413e-05","1.840901e-02","1.394542e-02","1.207214e-04"
"Bifidobacterium","0.0152911433","0.0289104106","0.2508631284","0.2765206202","0.0031842658","0.0004549023","0.0113223474","0.0457551878","0.0194020760","0.0040054369","0.0835394532","0.5179866094","0.6827267119","0.5607535521","0.0105028510","0.0697578633","0.3301209725","0.6446011355","0.6675001982","0.0038329969","0.4241731869","0.2480368048","0.7733895934","0.5770523542","0.0029883046","0.3864452896","0.3256503457","0.8725513861","0.5219331993","0.0046011872"
"Blautia","0.055053235","0.076447032","0.090912370","0.023447543","0.050014069","0.001773747","0.002344430","0.003834207","0.003026259","0.002535939","0.004733188","0.005397653","0.040702165","0.022425430","0.006434572","0.003756747","0.001579163","0.038398015","0.020910635","0.005160570","0.002866593","0.002732078","0.005360328","0.011788335","0.002493890","0.006438368","0.002196363","0.004823574","0.012585572","0.003149065"
"Catenibacterium","9.353066e-02","6.706486e-02","0.000000e+00","4.363043e-02","1.020547e-01","7.025862e-03","1.435941e-02","0.000000e+00","1.367221e-03","1.173995e-02","1.133346e-02","1.323809e-03","0.000000e+00","9.174714e-03","2.061659e-03","9.843333e-03","7.702882e-04","0.000000e+00","1.026403e-02","3.022727e-03","1.137060e-02","5.072915e-03","1.159671e-05","1.603791e-03","2.696171e-02","1.141544e-02","7.347388e-04","0.000000e+00","5.034080e-03","3.719064e-03"
"Clostridium_sensu_stricto_1","1.023327e-03","8.814529e-05","0.000000e+00","3.191865e-05","4.331890e-04","3.230461e-02","4.346411e-03","2.676995e-05","0.000000e+00","7.274045e-05","4.838422e-01","6.970920e-04","0.000000e+00","0.000000e+00","3.103697e-05","5.289699e-01","4.166648e-04","0.000000e+00","0.000000e+00","0.000000e+00","3.662797e-03","1.925205e-05","0.000000e+00","0.000000e+00","3.391806e-05","1.022798e-03","0.000000e+00","0.000000e+00","0.000000e+00","4.910015e-05"
"Collinsella","0.0590613110","0.0318075232","0.0050573824","0.0185695595","0.0467692176","0.0454771016","0.1126712312","0.2051136987","0.2627379944","0.0929730684","0.0456246141","0.0012232841","0.0009288831","0.0395023886","0.0036347736","0.0185233629","0.0031347380","0.0057827375","0.0276224445","0.0071856727","0.0145832413","0.0029892015","0.0058864878","0.0158007066","0.0036390305","0.0063289068","0.0009323582","0.0101140071","0.0039507627","0.0020255448"
"Dorea","0.0040048324","0.0120377090","0.0056284529","0.0170321447","0.0048610271","0.0100844261","0.0707984374","0.0770491072","0.0374940166","0.1039878580","0.0012390810","0.0031537793","0.0122206187","0.0105637007","0.0066979498","0.0009228125","0.0012182275","0.0132553367","0.0119353814","0.0072172391","0.0006993819","0.0005318379","0.0017482034","0.0035478813","0.0019860906","0.0024431442","0.0003166978","0.0013294702","0.0041187931","0.0020311095"
"Enterococcus","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.682957e-02","7.253931e-02","1.457046e-03","8.947607e-04","2.364575e-03","1.804012e-01","2.086873e-03","1.734466e-04","4.003807e-04","1.087688e-03","1.663322e-01","2.046296e-03","8.205548e-05","5.803193e-04","8.136373e-04","1.496972e-01","7.247269e-04","0.000000e+00","1.420649e-04","6.604088e-05","5.075397e-02","4.837111e-04","0.000000e+00","3.642010e-05","0.000000e+00","3.949310e-02"
"Escherichia_Shigella","1.100491e-04","0.000000e+00","8.848497e-04","3.551542e-03","5.884467e-05","4.604070e-01","7.086014e-02","1.879315e-01","2.111101e-01","2.809162e-03","2.304791e-01","5.027372e-02","1.876805e-02","9.395484e-02","1.780123e-04","2.486601e-01","2.208765e-02","1.964198e-02","5.440335e-02","1.568447e-04","2.539313e-01","2.997903e-02","2.668416e-02","2.448368e-01","0.000000e+00","2.347443e-01","7.193014e-02","4.234887e-03","1.611902e-01","8.448406e-05"
"Lactobacillus","0.000000e+00","1.289006e-04","0.000000e+00","0.000000e+00","0.000000e+00","3.257112e-05","2.903000e-04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.110498e-05","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.458470e-04","0.000000e+00","0.000000e+00","9.257024e-05","2.547177e-02","1.548444e-01","2.244524e-05","3.912745e-05","4.608722e-03","1.315838e-01","1.766315e-01","0.000000e+00","0.000000e+00","7.036632e-03"
