"",SampleType,Individual,Timepoint,sample_id,samples,variable,value,se
1,Inoculum,A,0H,Y.A.0H,Y.A.0H,Shannon,4.47632454655678,
2,Inoculum,B,0H,Y.B.0H,Y.B.0H,Shannon,4.64147001651719,
3,Inoculum,C,0H,Y.C.0H,Y.C.0H,Shannon,3.64201025256581,
4,Inoculum,D,0H,Y.D.0H,Y.D.0H,Shannon,3.73740166620881,
5,Inoculum,E,0H,Y.E.0H,Y.E.0H,Shannon,4.2039446349956,
6,NC,A,24H,Y.CN.A.24H,Y.CN.A.24H,Shannon,2.52855202077805,
7,NC,B,24H,Y.CN.B.24H,Y.CN.B.24H,Shannon,3.55408970854818,
8,NC,C,24H,Y.CN.C.24H,Y.CN.C.24H,Shannon,3.06954274656359,
9,NC,D,24H,Y.CN.D.24H,Y.CN.D.24H,Shannon,2.9755872160613,
10,NC,E,24H,Y.CN.E.24H,Y.CN.E.24H,Shannon,3.12737008202642,
11,FrutaloseOFP,A,24H,OFP.A.24H,OFP.A.24H,Shannon,2.01803872136934,
12,FrutaloseOFP,B,24H,OFP.B.24H,OFP.B.24H,Shannon,1.9720929951973,
13,FrutaloseOFP,C,24H,OFP.C.24H,OFP.C.24H,Shannon,2.08419299329485,
14,FrutaloseOFP,D,24H,OFP.D.24H,OFP.D.24H,Shannon,2.76403065213622,
15,FrutaloseOFP,E,24H,OFP.E.24H,OFP.E.24H,Shannon,2.89211017683766,
16,FrutafitIQ,A,24H,IQ.A.24H,IQ.A.24H,Shannon,1.83279994231968,
17,FrutafitIQ,B,24H,IQ.B.24H,IQ.B.24H,Shannon,2.14715414237954,
18,FrutafitIQ,C,24H,IQ.C.24H,IQ.C.24H,Shannon,2.27824659618913,
19,FrutafitIQ,D,24H,IQ.D.24H,IQ.D.24H,Shannon,2.46886337546201,
20,FrutafitIQ,E,24H,IQ.E.24H,IQ.E.24H,Shannon,2.86279355170806,
21,MangabaPulp,A,24H,PM.A.24H,PM.A.24H,Shannon,2.05492351695714,
22,MangabaPulp,B,24H,PM.B.24H,PM.B.24H,Shannon,2.31263901439617,
23,MangabaPulp,C,24H,PM.C.24H,PM.C.24H,Shannon,1.64147267426448,
24,MangabaPulp,D,24H,PM.D.24H,PM.D.24H,Shannon,2.19026545109792,
25,MangabaPulp,E,24H,PM.E.24H,PM.E.24H,Shannon,2.47710816876892,
26,MangabaExt,A,24H,EM.A.24H,EM.A.24H,Shannon,2.27886491027774,
27,MangabaExt,B,24H,EM.B.24H,EM.B.24H,Shannon,1.75169162530101,
28,MangabaExt,C,24H,EM.C.24H,EM.C.24H,Shannon,1.04766111652148,
29,MangabaExt,D,24H,EM.D.24H,EM.D.24H,Shannon,2.4452875026579,
30,MangabaExt,E,24H,EM.E.24H,EM.E.24H,Shannon,1.84922943734666,
