"",SampleType,Individual,Timepoint,sample_id,samples,variable,value,se
1,Inoculum,A,0H,Y.A.0H,Y.A.0H,Simpson,0.975363550609957,
2,Inoculum,B,0H,Y.B.0H,Y.B.0H,Simpson,0.981491413752995,
3,Inoculum,C,0H,Y.C.0H,Y.C.0H,Simpson,0.93697501976342,
4,Inoculum,D,0H,Y.D.0H,Y.D.0H,Simpson,0.925464204855426,
5,Inoculum,E,0H,Y.E.0H,Y.E.0H,Simpson,0.969361961326054,
6,NC,A,24H,Y.CN.A.24H,Y.CN.A.24H,Simpson,0.770676046476538,
7,NC,B,24H,Y.CN.B.24H,Y.CN.B.24H,Simpson,0.941995171542562,
8,NC,C,24H,Y.CN.C.24H,Y.CN.C.24H,Simpson,0.901472755262339,
9,NC,D,24H,Y.CN.D.24H,Y.CN.D.24H,Simpson,0.872739766653753,
10,NC,E,24H,Y.CN.E.24H,Y.CN.E.24H,Simpson,0.911844491838709,
11,FrutaloseOFP,A,24H,OFP.A.24H,OFP.A.24H,Simpson,0.733549365035395,
12,FrutaloseOFP,B,24H,OFP.B.24H,OFP.B.24H,Simpson,0.679673321924504,
13,FrutaloseOFP,C,24H,OFP.C.24H,OFP.C.24H,Simpson,0.646663035061126,
14,FrutaloseOFP,D,24H,OFP.D.24H,OFP.D.24H,Simpson,0.825289904165319,
15,FrutaloseOFP,E,24H,OFP.E.24H,OFP.E.24H,Simpson,0.889299454554039,
16,FrutafitIQ,A,24H,IQ.A.24H,IQ.A.24H,Simpson,0.691134274748167,
17,FrutafitIQ,B,24H,IQ.B.24H,IQ.B.24H,Simpson,0.793243137275994,
18,FrutafitIQ,C,24H,IQ.C.24H,IQ.C.24H,Simpson,0.687604840906411,
19,FrutafitIQ,D,24H,IQ.D.24H,IQ.D.24H,Simpson,0.772701535908247,
20,FrutafitIQ,E,24H,IQ.E.24H,IQ.E.24H,Simpson,0.885205523709835,
21,MangabaPulp,A,24H,PM.A.24H,PM.A.24H,Simpson,0.74644888528039,
22,MangabaPulp,B,24H,PM.B.24H,PM.B.24H,Simpson,0.848171415425522,
23,MangabaPulp,C,24H,PM.C.24H,PM.C.24H,Simpson,0.57721358114404,
24,MangabaPulp,D,24H,PM.D.24H,PM.D.24H,Simpson,0.797104716991797,
25,MangabaPulp,E,24H,PM.E.24H,PM.E.24H,Simpson,0.817398895611269,
26,MangabaExt,A,24H,EM.A.24H,EM.A.24H,Simpson,0.779687838485309,
27,MangabaExt,B,24H,EM.B.24H,EM.B.24H,Simpson,0.744185658778887,
28,MangabaExt,C,24H,EM.C.24H,EM.C.24H,Simpson,0.322524333900867,
29,MangabaExt,D,24H,EM.D.24H,EM.D.24H,Simpson,0.82900274610338,
30,MangabaExt,E,24H,EM.E.24H,EM.E.24H,Simpson,0.635624078173891,
