"","Axis.1","Axis.2","Axis.3","Axis.4","Axis.5","Axis.6","Axis.7","Axis.8","Axis.9","Axis.10","Axis.11","Axis.12","Axis.13","Axis.14","Axis.15","Axis.16","Axis.17","Axis.18","Axis.19","Axis.20","Axis.21","Axis.22","Axis.23","Axis.24"
"Y.A.0H",-0.2985,0.10349,-0.42927,-0.024788,-0.19092,0.02529,0.092741,-0.10893,0.073811,-0.012548,0.044513,0.12095,0.018088,-0.071541,0.21664,0.00068113,-0.015849,-0.0095268,-0.0013057,0.0067113,0.010246,0.0043281,-0.00037713,-7.8911e-05
"Y.B.0H",-0.26981,0.031298,-0.44679,-0.052608,-0.19461,-0.023079,0.0012741,0.058004,0.064275,0.00049178,0.048001,-0.11193,0.22581,-0.025646,-0.12618,0.036377,0.0022906,0.011192,-0.0037573,0.020303,-0.0030197,-0.0038973,-0.001193,0.00038955
"Y.C.0H",0.11131,-0.011076,-0.32887,0.11703,-0.047842,-0.033718,-0.26542,0.096125,-0.1807,-0.0087621,-0.12947,-0.074079,-0.040341,-0.044323,0.042297,-0.090259,0.045255,-0.0069018,0.048294,0.0051271,0.014833,0.0040653,0.00027621,-0.00039134
"Y.D.0H",0.11289,0.0069206,-0.24669,0.070766,-0.0052436,0.28429,0.078391,0.023882,-0.10582,0.13982,-0.13265,0.18293,0.014963,0.0046811,-0.08756,0.038557,-0.00098461,0.01122,-0.012904,-0.042684,-0.012025,0.0042614,0.0016419,0.00051313
"Y.E.0H",-0.39138,-0.044022,-0.35074,-0.0017621,-0.16951,-0.035484,0.078972,-0.067355,0.06112,-0.10967,0.028548,-0.046962,-0.23225,0.11727,-0.096968,-0.02155,-0.028235,0.009902,0.0046031,-0.020813,-0.0047502,0.002159,-0.00029523,6.7006e-05
"Y.CN.A.24H",-0.19795,0.37641,0.21719,0.040289,-0.0066432,-0.063449,0.031681,-0.14561,-0.025774,-0.14424,-0.25886,-0.023771,0.04058,0.0048855,0.010841,0.052587,-0.041226,0.038273,-0.0093086,0.024478,-0.0095347,-0.0048313,0.00035153,-0.0017568
"Y.CN.B.24H",-0.25675,0.29601,-0.039245,-0.28684,0.26191,-0.024721,0.026581,-0.0067921,0.04761,0.10437,-0.026951,-0.10286,0.052229,0.090725,0.056599,-0.022363,0.0083192,-0.0026987,0.05717,-0.036464,-0.021329,0.0085228,0.0024956,0.00017332
"Y.CN.C.24H",-0.088094,0.38242,-0.023115,0.11192,0.16533,-0.082675,-0.27116,0.1271,0.093398,-0.10259,0.084738,0.056275,-0.0061068,-0.0029729,0.017599,0.0214,-0.035622,0.021285,-0.053187,-0.024513,-0.012354,-0.0036282,0.0017799,0.00077835
"Y.CN.D.24H",-0.14234,0.4318,0.051943,0.072986,0.24812,0.13957,-0.038911,0.084768,0.10287,0.0011458,0.056847,0.12285,-0.028578,0.016909,-0.058619,0.01205,0.0029308,-0.020355,0.056387,0.039253,0.026479,0.0056722,-0.0015549,-0.0008355
"Y.CN.E.24H",-0.42386,0.12587,-0.043862,-0.22324,0.33366,-0.023376,0.10787,-0.078975,-0.14085,0.061071,0.04336,-0.037794,-0.045563,-0.12252,-0.037167,-0.064941,0.031421,0.0043148,-0.065433,0.0062442,0.005477,-0.0069921,-0.0031302,0.00016142
"OFP.A.24H",-0.048988,0.37407,0.22561,0.07173,-0.25536,-0.11161,0.047786,0.041498,-0.092871,0.13779,0.066483,-0.0097921,-0.040947,0.029819,0.02279,0.0099455,0.013959,-0.0022913,-0.0017127,0.017895,-0.024585,-0.019933,0.0081113,0.00067653
"OFP.B.24H",0.26977,-0.18614,0.018019,-0.17777,0.020933,-0.17148,0.11603,0.12748,0.088132,0.0098876,-0.029613,0.031212,0.011652,0.041466,0.0071632,0.016531,-0.015589,-0.051252,0.008668,0.004175,0.010509,-0.0077808,0.00040137,-0.0033149
"OFP.C.24H",0.33374,-0.12216,-0.13752,0.10165,0.10789,-0.15202,-0.063051,-0.033953,-0.025801,0.00028226,-0.0076386,0.0094317,-0.0050493,0.026933,0.005156,0.041799,-0.0028909,-0.012295,-0.018381,-0.0057242,-0.008248,-0.0056029,-0.027242,-0.0029468
"OFP.D.24H",0.285,0.042962,-0.038495,0.10031,0.080231,0.13589,0.084973,-0.0021134,0.0054236,-0.019823,-0.019614,-0.066476,-0.042266,0.060463,0.044706,0.057059,0.059858,-0.0058927,0.0042559,0.043805,-0.022567,-0.022801,-0.0011777,0.0035028
"OFP.E.24H",-0.47448,-0.35354,0.16849,0.061125,0.055245,-0.018747,0.042776,0.067416,-0.13266,-0.10303,0.038546,0.0054049,0.012851,-0.056464,0.013006,0.0691,-0.039255,-0.044964,0.043057,-0.025483,0.0082551,-0.021476,-0.0058349,0.0054827
