"","Axis.1","Axis.2","Axis.3","Axis.4","Axis.5","Axis.6","Axis.7","Axis.8","Axis.9","Axis.10","Axis.11","Axis.12","Axis.13","Axis.14","Axis.15","Axis.16","Axis.17"
"Y.A.0H",0.17703,0.13933,-0.25095,-0.072412,-0.13545,-0.095938,0.045031,0.028391,-0.0077056,0.065606,0.010859,0.05905,0.0031211,0.013623,-0.017313,-0.004798,0.00032607
"Y.B.0H",0.16433,0.056281,-0.28106,-0.12202,-0.08658,-0.017736,-0.00022403,-0.081755,-0.05382,-0.048237,0.054884,-0.054186,-0.030034,0.0086651,-0.00097772,0.0017418,0.00027019
"Y.C.0H",-0.10918,-0.011361,-0.25079,0.054671,-0.03884,0.13713,0.059872,-0.0075975,0.030917,-0.020121,0.013201,0.0081406,0.042532,0.0072223,0.0018359,0.00052179,-0.0010676
"Y.D.0H",-0.097186,0.012953,-0.1827,0.085229,0.046155,-0.16928,-0.030436,-0.028845,0.056775,0.012475,-0.0042836,-0.001423,0.016788,0.015923,0.013665,0.00084903,-0.00034006
"Y.E.0H",0.30691,0.031041,-0.21317,-0.0561,-0.080142,-0.0054444,-0.013048,0.079501,0.0066007,-0.03484,-0.070948,-0.014065,0.012895,-0.042429,0.012697,0.0017523,-4.0125e-05
"Y.CN.A.24H",0.092084,0.29127,0.20591,0.029295,-0.037869,0.0036311,0.01639,0.059202,-0.051025,-0.00066991,0.02723,-0.014332,0.051374,0.0054292,0.00029606,-0.0027218,0.00016056
"Y.CN.B.24H",0.13895,0.25234,0.010261,-0.10743,0.15586,0.026197,-0.027501,-0.075285,-0.01148,0.0031503,0.048305,0.0043893,0.0089341,-0.026285,0.00082447,-0.0026271,-0.00035218
"Y.CN.C.24H",-0.026262,0.24579,-0.024442,0.099029,0.056336,0.16687,0.069135,-0.025893,-0.058091,-0.0095141,-0.034373,0.025809,-0.026712,0.0073209,0.001111,0.00092461,0.00062866
"Y.CN.D.24H",0.028854,0.29644,0.040103,0.12988,0.13507,-0.071115,0.0026491,-0.037116,-0.022877,-0.00082649,-0.060469,0.0099697,-0.024524,0.0065067,0.0014218,0.0016881,-0.00039227
"Y.CN.E.24H",0.29746,0.16685,-0.010606,-0.053478,0.21631,0.015052,-0.01289,0.075507,0.082134,0.038008,0.031235,-0.024688,-0.012052,0.014455,-0.0012763,0.0028202,-0.00028881
"OFP.A.24H",-0.042837,0.20433,0.16422,-0.017462,-0.1695,0.025606,-0.05771,-0.025045,0.082619,-0.0046638,-0.0028455,0.0089938,-0.023514,-0.010984,-0.010768,-0.0068247,0.0037021
"OFP.B.24H",-0.14714,-0.11712,-0.00061514,-0.12979,0.018399,0.025983,-0.11885,-0.019876,-0.033034,0.022297,-0.0037189,-0.011155,-0.0017397,-0.0048044,0.0069512,-0.0024309,0.00025401
"OFP.C.24H",-0.20942,-0.086328,-0.081657,0.057163,0.0086152,0.078756,0.01347,0.011377,0.0033576,-0.0022528,4.3255e-05,0.0010087,0.013623,0.0067638,0.0057081,-0.0070196,-0.0027354
"OFP.D.24H",-0.17695,0.020321,-0.024357,0.10469,0.03512,-0.048774,-0.023294,-0.00017574,0.0023874,-0.011486,-0.023861,0.0072534,0.0096757,-0.0033648,0.0080753,-0.0085771,-0.00012955
"OFP.E.24H",0.36285,-0.19905,0.06461,0.042981,0.0059222,0.03493,-0.057802,0.059208,-0.012304,-0.036565,-0.0041248,0.0024412,0.020592,0.0373,-0.0074421,0.0050217,0.0021427
"IQ.A.24H",-0.04506,0.19771,0.18541,-0.012665,-0.19904,0.032925,-0.060708,-0.035273,0.076372,-0.020695,-0.0035318,-0.0043628,-0.0045905,0.015123,0.011383,0.0083762,-0.0035924
"IQ.B.24H",-0.086581,-0.1516,0.0081777,-0.16043,0.045745,0.029849,-0.18879,-0.052575,-0.044427,0.023623,-0.042678,0.018017,0.018077,0.012942,-0.0086461,-0.00082661,-0.0003562
"IQ.C.24H",-0.20089,-0.069012,-0.097372,0.054996,0.0074638,0.088886,0.019102,0.012001,5.3707e-05,-0.0045042,-0.0028059,-0.001214,-0.0063716,-0.0018732,-0.0019674,0.0058755,0.0038367
"IQ.D.24H",-0.18993,-0.020697,-0.045038,0.092198,0.036073,-0.059494,-0.029368,0.0086219,0.021902,-0.010505,-0.01146,-0.012949,0.0055711,-0.021167,-0.021257,0.0070303,0.00047591
"IQ.E.24H",0.38262,-0.18499,0.061163,0.065046,0.0057097,0.019121,-0.05033,0.059939,-0.0051855,-0.032981,-0.0021374,-0.0052408,-0.033016,-0.0071058,-0.0023876,-0.0080578,-0.002031
"PM.A.24H",-0.16371,0.017133,0.14406,-0.11907,0.0048921,-0.00674,0.024315,0.041569,-0.023082,0.029383,0.036132,0.0041164,0.032,-0.01878,0.010238,0.00094874,0.0012103
"PM.B.24H",-0.097965,-0.12403,0.082947,-0.25235,0.066222,-0.048224,0.10214,-0.018568,0.023183,-0.056825,-0.01394,0.045672,0.00080128,-0.00090275,0.0016452,0.0081029,-0.00033583
"PM.C.24H",-0.19862,-0.16685,2.0939e-05,0.079642,0.017343,0.037595,0.0028409,0.014986,0.023866,0.015318,0.042654,0.018658,-0.020804,-0.011457,-0.013248,-0.001877,-0.0031139
"PM.D.24H",-0.16775,-0.014444,0.075899,0.15023,-0.011769,-0.073284,-0.0034058,0.0043634,-0.04298,-0.042095,0.01741,-0.018595,0.01173,-0.012725,-0.024008,0.0048162,-0.0011267
"PM.E.24H",0.36964,-0.23701,0.11594,0.061246,-0.015855,-0.023706,0.033872,-0.03508,-0.013618,-0.012319,0.034539,0.05191,-0.015491,-0.01316,0.010629,0.0021651,-5.5098e-05
"EM.A.24H",-0.17333,0.019862,0.065345,-0.076566,-0.089601,-0.031806,0.048211,0.074609,-0.087306,0.07865,-0.015245,-0.01858,-0.034631,0.0058325,0.0051509,0.0049124,-0.0016315
"EM.B.24H",-0.16579,-0.092298,0.10732,-0.19188,0.037006,-0.030871,0.13863,0.0087158,0.029321,-0.051802,-0.033784,-0.035297,-0.0063687,0.015755,-0.0087875,-0.010288,0.00015812
"EM.C.24H",-0.22142,-0.17092,-0.042799,0.024468,0.022354,0.03257,-0.0050944,0.034237,0.051386,0.060416,0.015323,-0.013118,-0.02641,-0.0039832,0.009032,0.0019855,0.0019272
"EM.D.24H",-0.14662,-0.080845,0.055861,0.14868,-0.020551,-0.083901,-0.0029497,-0.007011,-0.037629,-0.038592,0.032668,0.0018655,-0.007058,0.011136,0.020553,-0.0035256,0.0023113
"EM.E.24H",0.34593,-0.22507,0.11831,0.092203,-0.035404,0.011205,0.10673,-0.12213,0.01369,0.090569,-0.034276,-0.038089,0.025602,-0.0049772,-0.00314,4.1404e-05,0.00018481
