"",Pvalues,FDR,MangabaExt,NC,LDAscore
Parabacteroides,0.0088159,0.21527,0.61211,12.83,-0.852
Collinsella,0.0090234,0.21527,4.6703,143.79,-1.85
Ligilactobacillus,0.0090234,0.21527,135.96,0.21827,1.84
Dorea,0.0090234,0.21527,2.0478,59.883,-1.48
Enterorhabdus,0.0090234,0.21527,0.28977,5.6861,-0.568
Christensenellaceae_R_7_group,0.0090234,0.21527,1.5689,5.7334,-0.489
Eubacterium_hallii_group,0.0090234,0.21527,1.0921,0.031848,0.185
Phascolarctobacterium,0.015971,0.28243,0.67488,13.9,-0.882
UCG_002,0.016294,0.28243,2.8742,35.77,-1.24
Eggerthella,0.018603,0.28243,0,2.1841,-0.321
Flavonifractor,0.018603,0.28243,0,1.5828,-0.253
Candidatus_Soleaferrea,0.023634,0.29517,0.01091,0.21349,-0.0419
unidentified_Lachnospiraceae,0.026388,0.29517,0.024732,0.13895,-0.0241
Bacteroides,0.02828,0.29517,6.6828,116.41,-1.75
Coprococcus,0.02828,0.29517,1.0989,5.4178,-0.5
Butyricicoccus,0.02828,0.29517,0.37589,1.2175,-0.153
Weissella,0.034266,0.30118,2.7616,0.0039941,0.376
Holdemania,0.034266,0.30118,0.012295,0.10002,-0.0186
Eubacterium,0.034266,0.30118,0.0050596,0.074073,-0.0147
Enterococcus,0.046533,0.34624,8.0026,51.531,-1.36
UBA1819,0.046533,0.34624,0.064198,0.17366,-0.0231
Bifidobacterium,0.047202,0.34624,422.24,16.188,2.31
Bilophila,0.052412,0.34624,0.079918,0.81351,-0.136
Cloacibacillus,0.053906,0.34624,0,0.24514,-0.0502
unidentified_Eubacterium_coprostanoligenes_group,0.053906,0.34624,0,0.15433,-0.0323
Prevotella_7,0.053906,0.34624,0.085654,0,0.0182
Alistipes,0.072254,0.4469,0.14791,1.1339,-0.174
Slackia,0.093693,0.55881,0.62595,93.807,-1.68
Faecalibacterium,0.11719,0.56979,3.7432,23.879,-1.04
Blautia,0.11719,0.56979,5.8386,2.7029,0.41
Anaerotruncus,0.12609,0.56979,0.0081966,0.10728,-0.021
Pediococcus,0.13604,0.56979,133.85,0,1.83
Limosilactobacillus,0.13604,0.56979,2.0418,0,0.306
Gordonibacter,0.13604,0.56979,0,0.25167,-0.0515
Pseudoflavonifractor,0.13604,0.56979,0,0.2459,-0.0504
Clostridium_innocuum_group,0.13604,0.56979,0,0.15334,-0.0321
Sanguibacteroides,0.13604,0.56979,0,0.028819,-0.00621
Acetanaerobacterium,0.13604,0.56979,0,0.023362,-0.00504
Turicibacter,0.13604,0.56979,0,0.0093062,-0.00202
Olsenella,0.14246,0.56979,0.78865,9.292,-0.72
Desulfovibrio,0.14246,0.56979,0.29659,0.98059,-0.128
Roseburia,0.16926,0.56979,0.79396,0.28863,0.0978
Family_XIII_AD3011_group,0.16926,0.56979,0.041964,0.16385,-0.0257
Ruminococcus_gauvreauii_group,0.17453,0.56979,0.24385,1.2138,-0.172
Alloprevotella,0.19554,0.56979,0.42054,0.086638,0.0671
Clostridium_sensu_stricto_1,0.19596,0.56979,0.21438,7.3501,-0.66
Intestinimonas,0.19596,0.56979,0.17636,2.0771,-0.29
Acidaminococcus,0.20869,0.56979,6.5107,56.427,-1.41
Lactobacillus,0.22035,0.56979,63.05,0.064574,1.51
Senegalimassilia,0.22035,0.56979,0.11596,21.883,-1.07
Lachnoclostridium,0.22035,0.56979,0.13832,1.6321,-0.242
Negativibacillus,0.24479,0.56979,0.047977,0.81537,-0.141
unclassified,0.25059,0.56979,27.714,44.215,-0.966
Oscillibacter,0.25059,0.56979,0.29354,2.0981,-0.279
Colidextribacter,0.25059,0.56979,0.20099,1.2742,-0.187
Romboutsia,0.25059,0.56979,0.022166,0.05638,-0.00737
Prevotella,0.2812,0.56979,1.6972,0.20086,0.243
Family_XIII_UCG_001,0.2812,0.56979,0.056674,0.15688,-0.0212
UCG_009,0.2812,0.56979,0.03296,0.094441,-0.0131
Erysipelotrichaceae_UCG_003,0.28959,0.56979,0.032175,0.091548,-0.0127
Paraclostridium,0.31731,0.56979,0,0.34304,-0.0687
Oribacterium,0.31731,0.56979,0,0.27282,-0.0555
Enorma,0.31731,0.56979,0,0.12335,-0.026
Raoultibacter,0.31731,0.56979,0,0.057906,-0.0124
Lachnospiraceae_UCG_001,0.31731,0.56979,0.03046,0,0.00656
Christensenella,0.31731,0.56979,0,0.028953,-0.00624
Lachnospiraceae_NK3A20_group,0.31731,0.56979,0,0.028419,-0.00613
Merdibacter,0.31731,0.56979,0.0264,0,0.0057
Rothia,0.31731,0.56979,0.02372,0,0.00512
Murdochiella,0.31731,0.56979,0,0.021314,-0.0046
UC5_1_2E3,0.31731,0.56979,0,0.018204,-0.00393
GCA_900066755,0.31731,0.56979,0,0.017372,-0.00376
Anaerovorax,0.31731,0.56979,0,0.016242,-0.00351
Ruminococcus_gnavus_group,0.31731,0.56979,0.016054,0,0.00347
Caproiciproducens,0.31731,0.56979,0.015201,0,0.00329
Sphingomonas,0.31731,0.56979,0.015126,0,0.00327
Harryflintia,0.31731,0.56979,0,0.014516,-0.00314
Pyramidobacter,0.31731,0.56979,0,0.012982,-0.00281
Propionibacterium,0.31731,0.56979,0.012295,0,0.00266
Coriobacteriaceae_UCG_002,0.31731,0.56979,0,0.012042,-0.00261
Shuttleworthia,0.31731,0.56979,0,0.011581,-0.00251
Phocea,0.31731,0.56979,0,0.010887,-0.00236
Faecalicoccus,0.31731,0.56979,0,0.010537,-0.00228
Lactiplantibacillus,0.31731,0.56979,0.0096478,0,0.00209
unidentified_Erysipelotrichaceae,0.31731,0.56979,0.0092335,0,0.002
unidentified_Clostridium_methylpentosum_group,0.31731,0.56979,0.0091088,0,0.00197
DTU089,0.31731,0.56979,0.0088241,0,0.00191
Faecalitalea,0.31731,0.56979,0,0.0069799,-0.00151
unidentified_Clostridia_vadinBB60_group,0.31731,0.56979,0,0.0067988,-0.00147
Anaerofilum,0.31731,0.56979,0,0.0065741,-0.00143
unidentified_vadinBE97,0.31731,0.56979,0.0061475,0,0.00133
Levilactobacillus,0.31731,0.56979,0.0051899,0,0.00113
Dielma,0.31731,0.56979,0,0.0046533,-0.00101
Prevotella_9,0.34129,0.59725,15.125,1.0959,0.904
Eubacterium_eligens_group,0.34721,0.59725,0.47253,0.33655,0.0286
NK4A214_group,0.34721,0.59725,0.5366,0.44082,0.0203
Libanicoccus,0.36836,0.59725,0.13982,1.1283,-0.174
Hydrogenoanaerobacterium,0.36836,0.59725,0.0058827,0.58812,-0.111
unidentified_Prevotellaceae,0.36836,0.59725,0.16936,0.005822,0.0341
Rikenellaceae_RC9_gut_group,0.36836,0.59725,0.036611,0.10652,-0.0149
Actinomyces,0.36836,0.59725,0.054204,0.015146,0.0084
Odoribacter,0.36836,0.59725,0.010034,0.036724,-0.00576
Defluviitaleaceae_UCG_011,0.36836,0.59725,0.013385,0.0056886,0.00167
Catenibacterium,0.40197,0.64546,4.1807,6.8985,-0.373
Peptococcus,0.41012,0.65228,0.021427,0.029295,-0.00171
Mogibacterium,0.43544,0.67332,0.081231,3.8746,-0.462
unidentified_Oscillospiraceae,0.43544,0.67332,0.10571,0.38014,-0.0558
Butyricimonas,0.43544,0.67332,0.01987,0.038041,-0.00393
Allisonella,0.45064,0.69044,0.55813,1.1752,-0.117
Escherichia_Shigella,0.4647,0.69915,94.437,186.62,-1.67
unidentified_Ruminococcaceae,0.4647,0.69915,0.62675,1.1684,-0.104
Sellimonas,0.52053,0.76253,0.036885,3.3216,-0.422
Howardella,0.52053,0.76253,0.01523,0.035788,-0.00444
Angelakisella,0.52053,0.76253,0.017648,0.035142,-0.00378
Lachnospira,0.59001,0.82338,0.34903,0.17515,0.0362
Parasutterella,0.59001,0.82338,0.078891,0.18921,-0.0233
UCG_003,0.59703,0.82338,0.2026,0.81849,-0.117
Methanobrevibacter,0.59703,0.82338,0.79941,0.29878,0.097
Lachnospiraceae_UCG_004,0.59703,0.82338,0.10208,0.49002,-0.077
Subdoligranulum,0.60151,0.82338,1.7049,2.8368,-0.195
Fusicatenibacter,0.60151,0.82338,0.89524,0.76071,0.0283
UCG_005,0.60151,0.82338,0.8535,0.93606,-0.0176
Akkermansia,0.63787,0.85907,0.029965,0.15584,-0.0265
Lactococcus,0.63787,0.85907,0.015702,0.052056,-0.00782
Eubacterium_ruminantium_group,0.69985,0.91309,0.080131,0.027855,0.0112
Eubacterium_ventriosum_group,0.69985,0.91309,0.076765,0.11529,-0.00829
Paraprevotella,0.69985,0.91309,0.039841,0.056344,-0.00357
GCA_900066575,0.69985,0.91309,0.014047,0.017627,-0.000777
Butyrivibrio,0.73819,0.91914,0.29881,0.32772,-0.00623
Intestinibacter,0.73819,0.91914,0.041523,0.049587,-0.00175
Holdemanella,0.74648,0.91914,0.39984,4.0354,-0.45
Anaerostipes,0.74648,0.91914,0.31217,0.088469,0.046
Megasphaera,0.75109,0.91914,1.7363,10.519,-0.732
Lachnospiraceae_UCG_010,0.75109,0.91914,0.11688,0.93301,-0.149
Agathobacter,0.7533,0.91914,5.9106,4.761,0.197
Eubacterium_siraeum_group,0.75402,0.91914,1.2435,0.33924,0.162
Ruminococcus_torques_group,0.75402,0.91914,1.2469,1.0884,0.0331
Eubacterium_xylanophilum_group,0.81395,0.93359,0.1522,0.02096,0.0276
Lachnospiraceae_NK4A136_group,0.83404,0.93359,0.20244,0.17636,0.00563
Lachnospiraceae_ND3007_group,0.83404,0.93359,0.21751,0.22674,-0.002
Lacticaseibacillus,0.8815,0.93359,9.8081,0.027262,0.77
