"",Pvalues,FDR,FrutaloseOFP,MangabaExt,LDAscore
Ruminococcus_torques_group,0.0090234,0.96775,7.6556,1.2469,0.624
Coprococcus,0.02828,0.96775,2.0948,1.0989,0.176
Weissella,0.072254,0.96775,0.11938,2.7616,-0.366
Parabacteroides,0.074913,0.96775,3.4393,0.61211,0.383
Ruminococcus_gauvreauii_group,0.0758,0.96775,2.0954,0.24385,0.285
Enterorhabdus,0.093693,0.96775,3.0927,0.28977,0.38
Bacteroides,0.11719,0.96775,53.209,6.6828,1.38
Faecalibacterium,0.11719,0.96775,9.1299,3.7432,0.567
Dorea,0.11719,0.96775,6.775,2.0478,0.527
Lactobacillus,0.12609,0.96775,0.008221,63.05,-1.51
Anaerotruncus,0.12609,0.96775,0.058034,0.0081966,0.0107
Erysipelatoclostridium,0.13604,0.96775,0.033676,0,0.00725
Clostridium_innocuum_group,0.13604,0.96775,0.018917,0,0.00409
unidentified_Eubacterium_coprostanoligenes_group,0.13604,0.96775,0.018175,0,0.00393
Defluviitaleaceae_UCG_011,0.13604,0.96775,0,0.013385,-0.0029
Enterococcus,0.17322,0.96775,34.016,8.0026,1.15
Anaerostipes,0.17322,0.96775,0.79251,0.31217,0.0935
Streptococcus,0.17453,0.96775,44.259,0.39212,1.36
Senegalimassilia,0.22035,0.96775,5.3346,0.11596,0.557
Roseburia,0.24479,0.96775,0.39053,0.79396,-0.0798
Ligilactobacillus,0.25059,0.96775,56.748,135.96,-1.61
Blautia,0.25059,0.96775,15.939,5.8386,0.782
NK4A214_group,0.25059,0.96775,0.30215,0.5366,-0.0481
Lachnospiraceae_ND3007_group,0.25059,0.96775,0.39587,0.21751,0.0371
Lachnoclostridium,0.31598,0.96775,0.7998,0.13832,0.124
Oribacterium,0.31731,0.96775,0.1784,0,0.0371
Fournierella,0.31731,0.96775,0,0.051617,-0.0111
Eubacterium_fissicatena_group,0.31731,0.96775,0.04843,0,0.0104
Eggerthella,0.31731,0.96775,0.036277,0,0.00781
Flavonifractor,0.31731,0.96775,0.034593,0,0.00745
Rothia,0.31731,0.96775,0,0.02372,-0.00512
Eubacterium_nodatum_group,0.31731,0.96775,0.01623,0,0.00351
Cloacibacillus,0.31731,0.96775,0.01586,0,0.00343
Caproiciproducens,0.31731,0.96775,0,0.015201,-0.00329
Howardella,0.31731,0.96775,0,0.01523,-0.00329
Sphingomonas,0.31731,0.96775,0,0.015126,-0.00327
Coprobacter,0.31731,0.96775,0.013933,0,0.00302
