"",Pvalues,FDR,FrutaloseOFP,MangabaPulp,LDAscore
Lactobacillus,0.023634,0.75719,0.008221,36.997,-1.29
Ruminococcus_torques_group,0.0090234,0.75719,7.6556,1.0626,0.633
Coprococcus,0.016294,0.75719,2.0948,0.72437,0.227
Faecalibacterium,0.02828,0.75719,9.1299,1.8523,0.666
Lachnospiraceae_ND3007_group,0.074913,0.75719,0.39587,0.064537,0.0666
Ligilactobacillus,0.0758,0.75719,56.748,182.42,-1.81
Blautia,0.0758,0.75719,15.939,5.0482,0.809
Dorea,0.0758,0.75719,6.775,1.7027,0.549
Fusicatenibacter,0.0758,0.75719,2.525,0.51659,0.302
Ruminococcus_gauvreauii_group,0.0758,0.75719,2.0954,0.27921,0.281
Christensenellaceae_R_7_group,0.0758,0.75719,1.5696,0.99979,0.109
Enterorhabdus,0.093693,0.75719,3.0927,0.32067,0.378
Lachnospiraceae_NK4A136_group,0.11273,0.75719,0.13603,0.048027,0.0187
Parabacteroides,0.11607,0.75719,3.4393,0.78678,0.367
unidentified_Ruminococcaceae,0.11607,0.75719,0.81404,0.15204,0.124
Bacteroides,0.11719,0.75719,53.209,8.0487,1.37
Eubacterium_hallii_group,0.11719,0.75719,2.9204,0.61501,0.333
UCG_009,0.13604,0.75719,0.066792,0,0.0143
Oscillospira,0.13604,0.75719,0.050155,0,0.0108
Mailhella,0.13604,0.75719,0.031472,0,0.00678
Clostridium_innocuum_group,0.13604,0.75719,0.018917,0,0.00409
Weissella,0.16926,0.75719,0.11938,7.9137,-0.69
Enterococcus,0.17453,0.75719,34.016,10.337,1.11
Ruminococcus,0.17453,0.75719,5.4321,3.0969,0.336
Subdoligranulum,0.17453,0.75719,1.8789,0.78104,0.19
Negativibacillus,0.19554,0.75719,0.33979,0.017411,0.0649
Anaerotruncus,0.19554,0.75719,0.058034,0.01213,0.00986
Colidextribacter,0.19596,0.75719,0.25817,0.052071,0.0426
Acidaminococcus,0.20869,0.75719,2.8023,23.666,-1.06
Bilophila,0.22035,0.75719,0.14082,0.055353,0.0182
Lachnospiraceae_UCG_004,0.22035,0.75719,0.10003,0.034193,0.0141
Butyricimonas,0.28959,0.75719,0.011895,0.035542,-0.0051
Angelakisella,0.31598,0.75719,0.014208,0.031196,-0.00367
Eubacterium_fissicatena_group,0.31731,0.75719,0.04843,0,0.0104
Eggerthella,0.31731,0.75719,0.036277,0,0.00781
Flavonifractor,0.31731,0.75719,0.034593,0,0.00745
Eubacterium,0.31731,0.75719,0.020396,0,0.00441
