#NAME,Y.A.0H,Y.B.0H,Y.C.0H,Y.D.0H,Y.E.0H,Y.CN.A.24H,Y.CN.B.24H,Y.CN.C.24H,Y.CN.D.24H,Y.CN.E.24H,OFP.A.24H,OFP.B.24H,OFP.C.24H,OFP.D.24H,OFP.E.24H,IQ.A.24H,IQ.B.24H,IQ.C.24H,IQ.D.24H,IQ.E.24H,PM.A.24H,PM.B.24H,PM.C.24H,PM.D.24H,PM.E.24H,EM.A.24H,EM.B.24H,EM.C.24H,EM.D.24H,EM.E.24H
K00001,1694,1807,1628,1477,1836,1306,1297,1724,1236,1335,1380,1366,1062,1181,1378,1363,1293,1063,1126,1331,1314,1297,957,1069,1343,1706,1319,1043,1236,1575
K00002,4,1,2,8,3,9,8,1,10,8,8,1,0,5,2,8,0,1,3,6,1,0,0,1,4,2,2,1,3,3
K00003,696,826,328,453,726,466,507,759,393,493,555,940,125,277,838,572,972,121,225,659,948,961,48,175,772,785,858,97,285,758
K00004,0,0,37,7,0,1,0,6,0,0,1,0,80,46,0,2,0,80,58,0,0,0,89,70,0,1,0,83,53,0
K00005,34,11,2,47,29,86,84,1,100,85,37,9,1,13,29,41,10,3,8,60,12,12,1,7,42,16,28,1,8,36
K00008,716,767,374,469,771,350,350,891,310,433,302,146,148,277,209,244,24,139,237,241,69,36,54,189,161,743,139,112,315,390
K00010,11,8,1,14,10,21,19,6,21,19,15,9,1,7,11,15,9,1,5,16,10,10,0,3,13,9,12,1,5,11
K00012,423,484,93,194,321,217,237,609,173,273,226,278,67,175,254,195,235,60,149,204,247,236,19,117,192,481,256,41,170,227
K00013,974,1084,399,791,1020,811,828,960,762,831,785,1026,165,437,987,787,1030,160,342,898,1021,1027,63,260,948,1021,993,127,425,980
K00014,703,807,347,573,751,528,586,688,518,574,516,877,203,331,820,543,911,201,284,702,890,905,137,251,784,747,834,182,352,780
K00015,162,85,656,330,128,331,310,161,358,301,243,178,1380,872,209,269,196,1379,1049,273,195,198,1517,1226,244,113,214,1426,954,194
K00016,7,2,0,18,6,18,18,0,23,18,8,0,0,7,5,8,0,1,4,12,1,1,0,3,8,3,5,0,5,7
K00018,2,2,0,5,2,6,6,0,7,6,4,7,0,2,7,5,8,0,1,7,8,8,0,1,8,2,7,0,1,6
K00019,42,47,21,25,46,17,19,54,13,22,19,22,9,15,22,17,17,8,14,18,19,18,3,11,18,47,19,7,18,29
K00020,1101,1076,1409,990,1060,934,966,1363,876,972,1042,1275,1794,1449,1191,1046,1289,1783,1585,1052,1276,1281,1860,1692,1121,1222,1179,1806,1528,1088
K00021,1150,1185,1656,1207,1225,975,1029,1281,980,1020,904,1339,1982,1521,1288,952,1384,1976,1682,1163,1360,1378,2056,1842,1253,1203,1278,2008,1674,1253
