#NAME,CopyNumber,MatchLevel,MatchedTaxon,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV0,2.83,genus,Bifidobacterium,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,
ASV1,4.94,family,Enterobacteriaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,
ASV2,6.33,genus,Ligilactobacillus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,
ASV3,8.5,family,Clostridiaceae,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,
ASV4,3.75,genus,Collinsella,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,
ASV5,2.83,genus,Bifidobacterium,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,
ASV6,6.33,genus,Ligilactobacillus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,
ASV7,5.51,genus,Enterococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,
ASV8,4.84,genus,Bacteroides,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
ASV9,6.33,genus,Ligilactobacillus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,
ASV10,9.0,genus,Catenibacterium,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,
ASV11,7.0,species,Megasphaera elsdenii,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Megasphaera,Megasphaera elsdenii
ASV12,4.33,genus,Pediococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,
ASV13,4.78,genus,Streptococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
ASV14,4.72,family,Prevotellaceae,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9,
ASV15,5.73,family,Selenomonadaceae,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Mitsuokella,
ASV16,4.65,genus,Lactobacillus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,
ASV17,5.0,genus,Agathobacter,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,
ASV18,6.0,species,Dorea formicigenerans,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Dorea,Dorea formicigenerans
ASV19,4.5,genus,Acidaminococcus,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,
ASV20,2.75,species,Bifidobacterium bifidum,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium bifidum
ASV21,4.84,genus,Bacteroides,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
ASV22,2.0,genus,Slackia,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Slackia,Slackia isoflavoniconvertens
ASV23,5.0,genus,Dialister,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Dialister,
ASV24,6.0,genus,Faecalibacterium,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,
ASV25,4.72,family,Prevotellaceae,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9,
ASV26,5.71,genus,Blautia,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,
ASV27,5.71,genus,Blautia,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,
ASV28,6.0,genus,Dorea,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Dorea,
ASV29,6.0,genus,Faecalibacterium,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,
ASV30,4.5,genus,Acidaminococcus,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,
ASV31,4.65,genus,Lactobacillus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,
ASV32,7.0,genus,Succinivibrio,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Succinivibrionaceae,Succinivibrio,
ASV33,4.0,genus,Subdoligranulum,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Subdoligranulum,
ASV34,6.54,genus,Parabacteroides,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,
ASV35,4.84,genus,Bacteroides,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
ASV36,4.84,genus,Bacteroides,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
ASV37,4.72,family,Prevotellaceae,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9,
ASV38,6.12,class,Bacilli,Bacteria,Firmicutes,Bacilli,,,,
ASV39,5.0,family,Lachnospiraceae,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Fusicatenibacter,
ASV40,4.33,genus,Pediococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,
ASV41,5.0,genus,Phascolarctobacterium,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,
ASV42,5.0,family,Lachnospiraceae,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus]_torques_group,
ASV43,4.72,family,Prevotellaceae,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9,
ASV44,8.5,family,Clostridiaceae,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,
ASV45,4.84,genus,Bacteroides,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
ASV46,3.75,genus,Ruminococcus,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus,
ASV47,3.34,family,Oscillospiraceae,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-002,
ASV48,9.0,genus,Catenibacterium,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,
ASV49,3.34,family,Oscillospiraceae,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-002,
ASV50,4.94,family,Enterobacteriaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,
ASV51,6.52,family,Erysipelotrichaceae,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,
ASV52,6.88,genus,Weissella,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,
ASV53,2.54,family,Eggerthellaceae,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Senegalimassilia,
ASV54,6.0,species,Blautia obeum,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia obeum
ASV55,5.73,family,Selenomonadaceae,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Mitsuokella,
ASV56,6.5,genus,Megasphaera,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Megasphaera,
ASV57,5.0,genus,Lacticaseibacillus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,
ASV58,5.51,genus,Enterococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,
ASV59,5.5,genus,Coprococcus,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Coprococcus,
ASV60,5.71,genus,Blautia,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia faecis
ASV61,5.73,family,Selenomonadaceae,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Mitsuokella,
ASV62,6.52,family,Erysipelotrichaceae,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,
ASV63,4.18,class,Clostridia,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,[Eubacterium]_siraeum_group,
ASV64,6.33,genus,Ligilactobacillus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,
ASV65,4.84,genus,Bacteroides,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
ASV66,4.0,genus,Subdoligranulum,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Subdoligranulum,
ASV67,5.73,family,Selenomonadaceae,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Mitsuokella,
ASV68,5.0,family,Lachnospiraceae,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus]_gauvreauii_group,
ASV69,2.36,family,Atopobiaceae,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Atopobiaceae,,
ASV70,2.0,family,Christensenellaceae,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,
ASV71,5.0,family,Lachnospiraceae,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus]_torques_group,
ASV72,4.72,family,Prevotellaceae,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9,
ASV73,4.84,genus,Bacteroides,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
ASV74,2.54,family,Eggerthellaceae,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Enterorhabdus,
ASV75,4.72,family,Prevotellaceae,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9,
ASV76,5.0,genus,Phascolarctobacterium,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,
ASV77,3.75,genus,Ruminococcus,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus,
ASV78,4.84,genus,Bacteroides,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
ASV79,4.94,family,Enterobacteriaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,
ASV80,6.33,genus,Ligilactobacillus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,
ASV81,5.0,species,Bacteroides caccae,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae
ASV82,6.12,class,Bacilli,Bacteria,Firmicutes,Bacilli,,,,
ASV83,5.0,family,Lachnospiraceae,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_ND3007_group,
ASV84,3.34,family,Oscillospiraceae,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-005,
ASV85,3.34,family,Oscillospiraceae,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-002,
ASV86,6.54,genus,Parabacteroides,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,
