#NAME,Y.A.0H,Y.B.0H,Y.C.0H,Y.D.0H,Y.E.0H,Y.CN.A.24H,Y.CN.B.24H,Y.CN.C.24H,Y.CN.D.24H,Y.CN.E.24H,OFP.A.24H,OFP.B.24H,OFP.C.24H,OFP.D.24H,OFP.E.24H,IQ.A.24H,IQ.B.24H,IQ.C.24H,IQ.D.24H,IQ.E.24H,PM.A.24H,PM.B.24H,PM.C.24H,PM.D.24H,PM.E.24H,EM.A.24H,EM.B.24H,EM.C.24H,EM.D.24H,EM.E.24H
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter,0.012721232306630878,0.008766049504079292,0.008425053786291131,0.002034813742168344,0.0016957071287228825,0.00045436713417601547,0.000532853266886992,0.0,0.0005066759001532204,0.0,0.0009912647908072525,0.0012105415502932794,0.00011611039099015773,0.0019069144476335858,0.00013190710753848266,0.0001510056755463364,0.0004898028141374866,0.0,0.0020351103391962884,0.0,0.00013536424434026266,0.0001636424193157586,5.218517517364838e-05,0.0026381681330852713,0.00014415173825323496,0.0025700607444838217,0.00011401119320620963,0.0,0.0012294904700023543,8.347025475410504e-05
k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,0.0014859559104611567,0.0,0.0009400338952626087,0.001446978661097489,0.0012919673361698153,7.572785569600258e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0536966591542406e-05,0.0,0.0,0.0,0.0,9.831450913991731e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0001480693433035947,0.0,0.0,0.00012294904700023543,0.0
k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,0.015291143299927788,0.028910410614160213,0.25086312837295,0.27652062021230067,0.0031842657843761343,0.00045490231336821335,0.011322347390625835,0.045755187819225766,0.019402076000360386,0.004005436895660001,0.08353945321820838,0.5179866094317979,0.6827267119148278,0.5607535520538834,0.010502850965372706,0.06975786330892006,0.3301209725293046,0.6446011354627694,0.6675001981733667,0.00383299692179796,0.4241731868584626,0.24803680482506946,0.7733895933800398,0.5770523542203518,0.002988304585697214,0.3864452896255654,0.3256503457303397,0.8725513860516837,0.5219331993120961,0.004601187187858794
k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia,0.0,0.0,4.533925539851811e-05,0.0003489498378852466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.793485883212244e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011860036688125604,0.0
k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.147452350011771e-05,0.0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium,0.0,0.0,0.0,0.0,0.0001291967336169815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Coriobacteriaceae_UCG-002,0.0,0.0,0.0,0.0,0.0,0.0,6.020940868779571e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.422472472343083e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Coriobacteriaceae_UCG-003,0.0,0.0,0.0,0.0,0.009073880761446902,0.0,0.0,0.0,0.0,0.00296920753544226,0.0,0.0,0.0,0.0,0.006297260218645077,0.0,0.0,0.0,0.0,0.013789044011044357,0.0,0.0,0.0,0.0,0.0061895661622857956,0.0,0.0,0.0,0.0,0.0023343376329537854
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Libanicoccus,0.01114927646749483,0.0,0.0,0.0,0.007144141413989868,0.0015081394990305599,0.0,0.0,0.0,0.004133602647380401,0.000504032944478264,0.0,0.0,0.0,0.002757380214081276,0.00042656970493315375,0.0,0.0,0.0,0.005508321813935709,0.0003728252492422489,0.0,0.0,0.0,0.0001628833200601525,0.0006991167540968756,0.0,0.0,0.0,0.0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella,0.01588607750047564,0.03750661438871124,0.0,0.0019495221481852399,0.012532856793982639,0.0014510726839952592,0.006551648950147447,0.0,0.012005921671723017,0.026451291833291774,0.0013058578082490752,0.001068237107097757,0.0,0.00039874648653111765,0.0021063011183789647,0.0008439438952689461,0.005369556414773,0.0,0.0003885483594751223,0.0028353101933174247,0.001053733638576895,0.004507515741631675,0.0,0.001706847026705317,0.00028772802046553883,0.0007599795208054474,0.002002591816795698,0.0,0.0010307105736546685,0.00014994656542653603
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__unclassified,0.0007832136361463311,0.004381119917292998,8.962187560766399e-05,0.0,0.005173343782544387,0.0,0.043862554229059166,0.002217595025865565,0.0,0.03164243716691899,0.0,0.00010798764944632289,0.0,0.0,0.0005961903165581138,0.0,0.0007982444819711321,0.0,0.0,0.00284535828799328,0.0,0.0001733500204616087,0.0,0.0,0.0001221624900451144,0.0,0.0,0.0,0.0,0.00024758126410115905
