#NAME,Y.A.0H,Y.B.0H,Y.C.0H,Y.D.0H,Y.E.0H,Y.CN.A.24H,Y.CN.B.24H,Y.CN.C.24H,Y.CN.D.24H,Y.CN.E.24H,OFP.A.24H,OFP.B.24H,OFP.C.24H,OFP.D.24H,OFP.E.24H,IQ.A.24H,IQ.B.24H,IQ.C.24H,IQ.D.24H,IQ.E.24H,PM.A.24H,PM.B.24H,PM.C.24H,PM.D.24H,PM.E.24H,EM.A.24H,EM.B.24H,EM.C.24H,EM.D.24H,EM.E.24H
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales,0.012721232306630878,0.008766049504079292,0.008425053786291131,0.002034813742168344,0.0016957071287228825,0.00045436713417601547,0.000532853266886992,0.0,0.0005066759001532204,0.0,0.0009912647908072525,0.0012105415502932794,0.00011611039099015773,0.0019069144476335858,0.00013190710753848266,0.0001510056755463364,0.0004898028141374866,0.0,0.0020351103391962884,0.0,0.00013536424434026266,0.0001636424193157586,5.218517517364838e-05,0.0026381681330852713,0.00014415173825323496,0.0025700607444838217,0.00011401119320620963,0.0,0.0012294904700023543,8.347025475410504e-05
k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales,0.0014859559104611567,0.0,0.0009400338952626087,0.001446978661097489,0.0012919673361698153,7.572785569600258e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0536966591542406e-05,0.0,0.0,0.0,0.0,9.831450913991731e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0001480693433035947,0.0,0.0,0.00012294904700023543,0.0
k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales,0.015291143299927788,0.028910410614160213,0.25086312837295,0.27652062021230067,0.0031842657843761343,0.00045490231336821335,0.011322347390625835,0.045755187819225766,0.019402076000360386,0.004005436895660001,0.08353945321820838,0.5179866094317979,0.6827267119148278,0.5607535520538834,0.010502850965372706,0.06975786330892006,0.3301209725293046,0.6446011354627694,0.6675001981733667,0.00383299692179796,0.4241731868584626,0.24803680482506946,0.7733895933800398,0.5770523542203518,0.002988304585697214,0.3864452896255654,0.3256503457303397,0.8725513860516837,0.5219331993120961,0.004601187187858794
k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales,0.0,0.0,4.533925539851811e-05,0.0003489498378852466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.793485883212244e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011860036688125604,0.0
k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.147452350011771e-05,0.0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales,0.11928170541915972,0.08312263965117721,0.006146252860942958,0.04867848917176525,0.09849728429471657,0.12072638127771175,0.369347083782886,0.24406860651549298,0.42226699189020156,0.3568201583317706,0.08177097348736245,0.006745016892837291,0.0009288831279212618,0.04818714940961198,0.022715692775484287,0.04135853903872605,0.015121728610014356,0.0060518304459293865,0.036546348040777055,0.048179897323597495,0.01772985625312295,0.008988870565187747,0.006177256618989622,0.020512862983744353,0.014109588878345675,0.009109384542266081,0.00369831630213621,0.010410278872662548,0.006930506109702318,0.006743936649718754
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,0.02610305960603966,0.036981852307151286,0.19034599152734125,0.07810793109902438,0.10019990468481578,0.1640839880137647,0.13526706898009358,0.2157262143146433,0.13195759506983665,0.015467382694641426,0.052848398296959184,0.04652120435658406,0.11298794789754953,0.11531356150563911,0.39790825497570653,0.05453446594556841,0.11266544585261978,0.10740181108565346,0.08411338433083561,0.3349653211643317,0.0074346036736236305,0.0046913723784419254,0.02774521606135117,0.013647412167704811,0.1599823703734531,0.0029807902334233615,0.004517554687073176,0.021733795061370284,0.015628034272694786,0.08286639962310204
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__unclassified,0.0,0.0,0.0,8.451978160616175e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SJA-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.742472438703053e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__S085,0.0,0.000299694000139463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Gastranaerophilales,0.0,0.000599388000278926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030141711639229945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
