#NAME,Y.A.0H,Y.B.0H,Y.C.0H,Y.D.0H,Y.E.0H,Y.CN.A.24H,Y.CN.B.24H,Y.CN.C.24H,Y.CN.D.24H,Y.CN.E.24H,OFP.A.24H,OFP.B.24H,OFP.C.24H,OFP.D.24H,OFP.E.24H,IQ.A.24H,IQ.B.24H,IQ.C.24H,IQ.D.24H,IQ.E.24H,PM.A.24H,PM.B.24H,PM.C.24H,PM.D.24H,PM.E.24H,EM.A.24H,EM.B.24H,EM.C.24H,EM.D.24H,EM.E.24H
k__Archaea;p__Euryarchaeota,0.012721232306630878,0.008766049504079292,0.008425053786291131,0.002034813742168344,0.0016957071287228825,0.00045436713417601547,0.000532853266886992,0.0,0.0005066759001532204,0.0,0.0009912647908072525,0.0012105415502932794,0.00011611039099015773,0.0019069144476335858,0.00013190710753848266,0.0001510056755463364,0.0004898028141374866,0.0,0.0020351103391962884,0.0,0.00013536424434026266,0.0001636424193157586,5.218517517364838e-05,0.0026381681330852713,0.00014415173825323496,0.0025700607444838217,0.00011401119320620963,0.0,0.0012294904700023543,8.347025475410504e-05
k__Bacteria;p__Actinobacteriota,0.13605880462954867,0.11203305026533743,0.25799475438455405,0.3269950378830487,0.10297351741526253,0.12125701144677598,0.3806694311735118,0.2898237943347187,0.44166906789056193,0.3608255952274306,0.16531042670557083,0.5247316263246351,0.6836555950427491,0.609001238430087,0.03321854374085699,0.11111640234764611,0.345242701139319,0.6506529659086988,0.7041827955821158,0.05201289424539546,0.44190304311158557,0.25702567539025717,0.7795668499990294,0.5975652172040962,0.017097893464042887,0.3957027435111351,0.32934866203247587,0.8829616649243462,0.5291667293591801,0.011345123837577548
k__Bacteria;p__Bacteroidota,0.02610305960603966,0.036981852307151286,0.19034599152734125,0.07819245088063054,0.10019990468481578,0.1640839880137647,0.13526706898009358,0.2157262143146433,0.13195759506983665,0.015467382694641426,0.052848398296959184,0.04652120435658406,0.11298794789754953,0.11531356150563911,0.39790825497570653,0.05453446594556841,0.11266544585261978,0.10740181108565346,0.08411338433083561,0.3349653211643317,0.0074346036736236305,0.0046913723784419254,0.02774521606135117,0.013647412167704811,0.1599823703734531,0.0029807902334233615,0.004517554687073176,0.021733795061370284,0.015628034272694786,0.08286639962310204
k__Bacteria;p__Chloroflexi,0.0,0.000299694000139463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.742472438703053e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Cyanobacteria,0.0,0.000599388000278926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030141711639229945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Dependentiae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015070855819614972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Desulfobacterota,0.004206075459007511,0.0017430715111086234,0.0016348415569784498,0.005633117728128383,0.002502632380017731,0.0023683005976629333,0.0023116049935484003,0.0024403326737061264,0.0018868528808691628,0.0003254177918100805,0.0005897685254230792,0.0007428290014144598,0.00028606907925111323,0.0010614517551790887,0.00014824038019834563,0.0006043298584030855,0.0004957518361715452,0.00019911297735393985,0.0008681823587435719,6.796604817473825e-05,0.00017811084781613507,8.612758911355716e-05,0.00013613523958343055,0.0007568221267835386,0.0,0.0003005918999396283,0.00014001374604271358,0.00020358307376684676,0.0012217534018272823,0.0001604462562779136
k__Bacteria;p__Firmicutes,0.795625359760833,0.8145318865882561,0.5376420158069717,0.5757829862750473,0.7349118170913316,0.25014217620030865,0.3984884702913226,0.30065822709917556,0.2115753922929698,0.616179238921259,0.5486281060920715,0.3746880251522933,0.18343356370064673,0.1779302213381509,0.5585446491860548,0.5834787661323977,0.5165929492744132,0.2211048902820251,0.15387134527276417,0.5988560975301124,0.29522889377330874,0.7049538481829258,0.16479291573045354,0.1399699029269698,0.8180466674208849,0.3619571193821536,0.5842816342305412,0.0904469419672534,0.29104229460073144,0.8995615781232557
k__Bacteria;p__Gemmatimonadota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011274111755425868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Proteobacteria,0.024064880539448427,0.0006062006297151075,0.003252317516416215,0.003921517055454427,0.05771642129984972,0.46141720902076633,0.080626312287604,0.19127558340005998,0.21224097212684997,0.007202365364858789,0.2315527344059033,0.05192441517419379,0.019520713888813282,0.09468897225461437,0.009935663492090643,0.2500601687595861,0.023445248375251228,0.02055379502188174,0.05479598181363898,0.01409772101198561,0.2551199843493255,0.03281547735975461,0.027706697794409006,0.24538334999407688,0.004728917003365833,0.2364886942288646,0.08134376489699542,0.004654014973263322,0.16158180817655574,0.005982981905032838
k__Bacteria;p__Spirochaetota,0.00021745696250651073,0.019843499191795507,0.0,0.0,0.0,0.0,0.0005033309696298562,0.0,0.0,0.0,0.0,0.00013888329847047521,0.0,0.0,0.0,5.48612808524383e-05,0.0006159750334992496,0.0,0.0,0.0,0.0,0.00022294607536206898,0.0,0.0,0.0,0.0,0.00016568384117160347,0.0,0.0,0.0
k__Bacteria;p__Synergistota,0.0007176079762714854,0.000299694000139463,0.0,0.0,0.0,0.00027694758654538083,0.0009378217497211059,7.58481776962715e-05,0.0,0.0,7.93011832645802e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Verrucomicrobiota,0.0002855227597138332,0.0039959200018595065,0.0007050254214469566,0.007440076435522102,0.0,0.0,0.00066310628768159,0.0,0.00016344383875910334,0.0,0.0,4.247514211555366e-05,0.0,9.764026869603613e-05,0.0,0.0,0.0,0.0,0.0001332003027056944,0.0,0.0,4.091060482893965e-05,0.0,3.912744728343005e-05,0.0,0.0,8.86753724937186e-05,0.0,0.00012988971900831323,0.0
k__Bacteria;p__unclassified,0.0,0.000299694000139463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
