Metric,Value
input_asv_file,data/featureTable.sample.total.absolute.txt
input_copy_number_file,data/16S_copy_numbers.csv
output_directory,outputs
asv_id_column,#OTU_num
taxonomy_column,Taxonomy
n_asvs_final,1398
n_samples,30
duplicate_asv_ids,0
removed_unassigned_rows,0
removed_by_filters,0
min_total_count_filter,0.0
min_prevalence_filter,0
fallback_strategy,"no match = copy number 1, left uncorrected"
copydb_global_mean_reference_only,4.230536
copydb_global_median_reference_only,3.32
copydb_records_used,15986
scale_factor_for_lefse,1000.0
asvs_without_copy_number_match_left_uncorrected,29
raw_abundance_percent_without_copy_number_match_left_uncorrected,0.061998
raw_sample_total_min,29581.0
raw_sample_total_max,66521.0
corrected_sample_total_min,6673.473607
corrected_sample_total_max,19932.75246
relative_sample_total_min,1.0
relative_sample_total_max,1.0
taxonomy_table_duplicate_ids,0
copydb_lookup_size_species,12628
copydb_lookup_size_genus,2280
copydb_lookup_size_family,625
copydb_lookup_size_order,269
copydb_lookup_size_class,124
copydb_lookup_size_phylum,60
copy_number_match_species,43
copy_number_match_genus,381
copy_number_match_family,620
copy_number_match_order,29
copy_number_match_class,295
copy_number_match_phylum,1
copy_number_match_no_match_assumed_1,29
metadata_file,data/metadata.csv
metadata_samples,30
metadata_duplicate_sample_ids,0
samples_missing_from_metadata,
metadata_rows_not_in_asv_table,
