,Y.A.0H,Y.B.0H,Y.C.0H,Y.D.0H,Y.E.0H,Y.CN.A.24H,Y.CN.B.24H,Y.CN.C.24H,Y.CN.D.24H,Y.CN.E.24H,OFP.A.24H,OFP.B.24H,OFP.C.24H,OFP.D.24H,OFP.E.24H,IQ.A.24H,IQ.B.24H,IQ.C.24H,IQ.D.24H,IQ.E.24H,PM.A.24H,PM.B.24H,PM.C.24H,PM.D.24H,PM.E.24H,EM.A.24H,EM.B.24H,EM.C.24H,EM.D.24H,EM.E.24H
Glycolysis / Gluconeogenesis,5.075161839727415,5.057867338102447,5.7942433582210455,5.149044986014062,5.1317536758235605,4.97877881161345,4.942013666314325,5.226623356491876,4.901086241277168,4.9378938199825795,5.1803,5.159218662029227,6.653299197951877,5.971144816937494,5.106131497660577,5.183039942078436,5.155376342473001,6.6387435392763985,6.217367346795912,5.022354798806811,5.153376196462342,5.1496892204759455,6.802333314332403,6.423903641445379,5.079043794102117,5.142846856649119,5.078525025601639,6.698414825496799,6.113142335970815,5.115443730118969
Pentose phosphate,1.921274836010077,1.8532147521214026,2.422001724072411,2.159344676093298,1.9057085259907525,2.178221980430904,2.1466493729355776,1.8411491330797793,2.215184176998726,2.1166402161641074,2.1783,2.051147176385057,2.7103626217573056,2.4612009092372786,2.068831728552958,2.194959263900125,2.08595227451604,2.7143040020482294,2.544409409604613,2.1316808148726665,2.078951763478734,2.0853981128207177,2.814037887856505,2.6268605970910435,2.1199017552842534,1.872089860313295,2.088533666154634,2.7465290868670826,2.469238277343531,2.039177569046741
Pentose & glucuronate interconv.,0.3674334364427163,0.37428278299198237,0.17660741751153547,0.25621716655015886,0.35048317680751323,0.2704151432480219,0.2806064539484408,0.43353511634442393,0.2543096637672232,0.30090571720862697,0.25070000000000003,0.268306171041934,0.1185071104266256,0.18810771241620908,0.2704910737945648,0.2388064477740899,0.24481787170463443,0.11601299345526699,0.16800722431064535,0.2600976591210679,0.2522184119440719,0.24662342922577643,0.08530417990481534,0.14569781453278202,0.2476118853704978,0.38951869689745106,0.2581165194572453,0.10460491643107227,0.18771051178866016,0.28089691013398854
Fructose & mannose,0.8095736712040795,0.7708645402311494,0.9691407039095643,0.9070607730717958,0.7963617746348175,0.9572536062019472,0.9362215330952612,0.7367596775338803,0.9859374656236937,0.9274176209347976,0.9286000000000001,0.7857180715156448,0.948556913414805,0.9316381971660839,0.8200729375930594,0.9318251592793005,0.7899576669096844,0.9543068823708256,0.9319400734231572,0.8908919819721621,0.7934579224283372,0.792575294652992,0.9757478116427705,0.9388859167112493,0.856841128374162,0.7587364193481287,0.8274529569892473,0.9610451691229488,0.9099509572536062,0.8328908382007798
Galactose,0.8704792136084385,0.8340616331648744,1.1834497048876054,0.8957600159210667,0.867958337999776,0.890649876393078,0.8848203508680699,0.935075741135032,0.8832335628753893,0.8839167944190939,0.9311,0.9014207326768516,1.2574754485269115,1.0991450649476628,0.8940704956736427,0.9290250836772592,0.9036659676156359,1.2562406989582835,1.1567497402388303,0.8884920035719678,0.9029659165119055,0.9019856886404208,1.3026638305276959,1.2027819582706258,0.8920428180552666,0.8869425732435157,0.8876568100358423,1.271059739807771,1.1206627571143986,0.880190317906503
Starch & sucrose,1.6125467417534998,1.6006263711869255,1.8935795303402743,1.5012005804388895,1.635621490168472,1.4631819381885385,1.4552334703698184,1.7985456822002581,1.4057534186299079,1.480928137634615,1.5275,1.519634951603887,2.043222593355601,1.8022738932296223,1.5035503828373664,1.5074407008989243,1.486108485919472,2.034427855919863,1.8932814111006773,1.4597868619182428,1.4952091502679696,1.4851410884033984,2.0775017975880816,1.9634705479417809,1.4648703137750612,1.675780437460998,1.470994143625192,2.0482962699246867,1.8667045354539853,1.5252832218845591
Amino & nucleotide sugar,1.608246350417888,1.5051307639848566,2.2387940293492328,1.7568177067863546,1.5659248356078908,1.776099461569848,1.7355399174181008,1.6738355806820353,1.7916680833871688,1.7412330834285852,1.7525,1.5193349447037283,2.54615276916615,2.1971900847934767,1.5627484293018328,1.7431470649707541,1.506209953326593,2.5461851727393467,2.3202997728902344,1.652485127633851,1.5183108366910785,1.5106435111335577,2.660630370888174,2.4319635205471917,1.5940765156727523,1.575975646831048,1.5534994239631337,2.5826213832050104,2.230024881393358,1.5732826938903672
Pyruvate,5.541504276889197,5.9462264735822155,5.801143648033218,5.045938077851217,5.7841223621266185,4.510552590945093,4.632506547650596,6.003786306690842,4.275162456173335,4.629787965971353,4.9049000000000005,6.006838157277617,6.669200152009121,5.825738855293067,5.710611549818855,4.954933783212147,6.039840908386313,6.627442273534635,6.132263687338556,5.128653842115421,5.989337221617178,6.011871127757137,6.694128012272602,6.400703989440158,5.482963182232748,5.865081523913148,5.690164170506913,6.665813293224781,6.189946637011673,5.6512378363838
Propanoate (propionate),3.109182935647144,3.181153666931321,3.2787377069836934,2.890693676476324,3.143749100043198,2.6909506932388214,2.6805616529180174,3.448079294422848,2.5808980741268166,2.743952135090567,2.818,2.7946642772783776,3.8695321719303157,3.4412410908847266,2.7672086821134902,2.770774810919895,2.7015972165968116,3.84603075544461,3.6071551076696293,2.676275913516778,2.730099297248699,2.7035568378996,3.909491565086689,3.737343939840902,2.677628526169256,3.22105461062131,2.7111735151049667,3.867981795144372,3.5820005920331535,2.8521686261451125
Butanoate (butyrate),3.1490865668775863,3.4403417442797632,3.225135455689139,2.8878934888637535,3.306841271618962,2.5928451993311628,2.6955619979259526,3.3488712585719442,2.4542932631439993,2.6453502616549716,2.9085,3.8228879264223075,3.7642258535512134,3.3102357196645062,3.569382210387057,2.972680262367084,3.9175859837768154,3.739518826108524,3.4742493927238867,3.1211719094528148,3.8545813844410644,3.890069556607878,3.7792851849740634,3.6216456753148702,3.4276645278973388,3.3736619357729167,3.600430427547363,3.760476742406893,3.5086964870032724,3.4162624211133674
